review_id,review,rating,time,aspect_index,topic,problem,sentiment,aspect,modified_flag,company,data_source,top_issue,sub_issue_index
3c0d2476-b866-41d0-ae55-b88e8512e649,unable to share lyrics in my android device,1,3/27/2025 16:48,3c0d2476-b866-41d0-ae55-b88e8512e649_1_730a7174,functionality,unable to share lyrics in my android device,negative,sharing lyrics functionality,False,Apple Music,Android,sharing lyrics functionality,
da509029-0a92-4b62-bd22-b5d02a652070,app is not working properly unable to play any songs,1,3/22/2025 4:48,da509029-0a92-4b62-bd22-b5d02a652070_1_43731806,functionality,app is not working properly,negative,functionality issues,False,Amazon Music,Android,functionality issues,
443bc365-b40e-46bc-95c3-8e5a2338e962,it keeps me well entertained and very happy,5,3/31/2025 21:36,443bc365-b40e-46bc-95c3-8e5a2338e962_1_4f199e74,other,,Positive,,False,YouTube Music,Android,,
e8e865dc-109b-470e-b4dc-7a1129e7617c,used to be good but now  nope its understandable that the company needs to put ads since its free but at the same time its way too much and some necessary features which are not wants but important features like shuffle  repeat  choosing a song etc all require premium  the worst part is  being forced to listen to songs we havent even added on our playlists,1,3/6/2025 17:42,e8e865dc-109b-470e-b4dc-7a1129e7617c_1_e6eced4a,ads,too many ads,negative,advertising frequency,False,Spotify,Android,advertising frequency,
f7554b67-9ea4-46d6-88d2-59380e0d355c,as an android user  i really enjoy this app  especially its lossless feature however  ive been experiencing issues with the lyricsthey freeze every other song  and i have to open the credits first to make them appear again additionally  some of my downloaded songs wont play  and the issue only resolves when i renew my subscription i hope these problems can be fixed in a future update thanks,3,3/8/2025 23:35,f7554b67-9ea4-46d6-88d2-59380e0d355c_1_38ced2ba,functionality,lyrics freeze every other song,neutral,lyric display issues,False,Apple Music,Android,lyric display issues,
ecbb8a41-9824-4326-a2b5-69b90ce2a884,still trash in 2025 original review was from 2023 amazon alexa is somehow  remarkably  amazingly even worse 2 years later from 2023 intentionally limited this app is intentionally designed to make playing your own music difficult because they want you to spend money on a streaming service and only to use the streaming service amazon music app is disappointing,1,2/10/2025 1:16,ecbb8a41-9824-4326-a2b5-69b90ce2a884_1_8217b09a,functionality,intentionally designed to make playing your own music difficult,negative,music playback difficulty,False,Amazon Music,Android,music playback difficulty,
a9bac383-f9b8-440e-8681-5e813709d907,ive been having this issue for awhile and its getting on my nerves sometimes when im listening to my music  it just suddenly stops playing and when i go back to play it again  it plays from the beginning itll suddenly stop playing half way through the song and when i go back to press play again  the music starts from the beginning its been doing that for about a few months now and at first i thought it was maybe my headphones  but just today i wasnt using them and the music stopped again im getting really tired of this happening also  when it does stop and goes to the beginning  i just skip to the next song on my playlist  but then again  it does the same thing to the next song i want this to stop its super annoying and i just want to listen to my music without any problems   also  when ads pop up  it gives you the option to skip them and go straight to your music i always skip them because  to be honest  your ads are super annoying i just close out of the app and go back in it again to play music however  sometimes when i do skip the ads  it still plays an ad like  it super annoying and im getting sick of it it gives you the option and you decide to play it anyway not cool please get back to me asap,2,12/8/2020 20:39,a9bac383-f9b8-440e-8681-5e813709d907_1_496b974a,functionality,the music just suddenly stops playing,negative,music playback issues,False,Spotify,IOS,interruption of music playback,4.0
a9bac383-f9b8-440e-8681-5e813709d907,ive been having this issue for awhile and its getting on my nerves sometimes when im listening to my music  it just suddenly stops playing and when i go back to play it again  it plays from the beginning itll suddenly stop playing half way through the song and when i go back to press play again  the music starts from the beginning its been doing that for about a few months now and at first i thought it was maybe my headphones  but just today i wasnt using them and the music stopped again im getting really tired of this happening also  when it does stop and goes to the beginning  i just skip to the next song on my playlist  but then again  it does the same thing to the next song i want this to stop its super annoying and i just want to listen to my music without any problems   also  when ads pop up  it gives you the option to skip them and go straight to your music i always skip them because  to be honest  your ads are super annoying i just close out of the app and go back in it again to play music however  sometimes when i do skip the ads  it still plays an ad like  it super annoying and im getting sick of it it gives you the option and you decide to play it anyway not cool please get back to me asap,2,12/8/2020 20:39,a9bac383-f9b8-440e-8681-5e813709d907_2_bc840fe0,ads,ads are super annoying and sometimes play even after skipping,negative,advertising experience,False,Spotify,IOS,advertising frequency,1.0
5282f066-a1d6-4693-88b8-55a0d2ddac7a,its getting worsewith time and every upgradeupdate,2,3/21/2025 0:17,5282f066-a1d6-4693-88b8-55a0d2ddac7a_1_9e1cfc13,performance,its getting worse with time and every upgrade/update,negative,overall performance degradation,False,Amazon Music,Android,overall performance degradation,
8deaf37f-0ffd-4bae-a1f5-e2e50ce3ecf5,while i loved spotify and currently have a premium plan  i will be canceling it it stops at every song by itself at first i thought it was because i had my phone on power saving mode  but thats not the problem either its very frustrating ive given this feedback before  but unlike some apps  you dont even acknowledge the feedback i dont know what happened to you  instead of improving your product  its deteriorating,1,10/30/2024 16:15,8deaf37f-0ffd-4bae-a1f5-e2e50ce3ecf5_1_7ae64fce,functionality,it stops at every song by itself,negative,app performance issues,False,Spotify,Android,overall performance degradation,1.0
8deaf37f-0ffd-4bae-a1f5-e2e50ce3ecf5,while i loved spotify and currently have a premium plan  i will be canceling it it stops at every song by itself at first i thought it was because i had my phone on power saving mode  but thats not the problem either its very frustrating ive given this feedback before  but unlike some apps  you dont even acknowledge the feedback i dont know what happened to you  instead of improving your product  its deteriorating,1,10/30/2024 16:15,8deaf37f-0ffd-4bae-a1f5-e2e50ce3ecf5_2_52a0c9ec,customer_service,you dont even acknowledge the feedback,negative,customer service responsiveness,False,Spotify,Android,customer service responsiveness,
3c8c6e8a-990d-42d3-85a8-983682023b5a,the app will not allow me to sign in after changing my password 10 times then it will take me directly where it asks if i want 6 mos free then go to my carrier i pay too much money for this and not get the service,1,3/28/2025 11:18,3c8c6e8a-990d-42d3-85a8-983682023b5a_1_850d7c3a,functionality,the app will not allow me to sign in after changing my password 10 times,negative,sign-in functionality,False,Apple Music,Android,sign-in functionality,
2b6643af-e5a0-4fcf-8e12-035f7b15f80d,it should have been 3 stars but as i hate spotify  any ways what are the cons  1 less genres  can u imagine there is no metal in genres  2 searching algorithm could be a combination of my personal taste  popularity less playlist on searching for eg i was searching for the video game playlist nfs most wanted 2005 its too famous bt there isnt one instead now i have to search each song one by one 3 less no of mixes in my mix section 4 sounds quality and hang problem also,4,2/3/2025 10:31,2b6643af-e5a0-4fcf-8e12-035f7b15f80d_1_8c72b95c,content,less genres,negative,lack of genre variety,False,Amazon Music,Android,lack of genre variety,
2b6643af-e5a0-4fcf-8e12-035f7b15f80d,it should have been 3 stars but as i hate spotify  any ways what are the cons  1 less genres  can u imagine there is no metal in genres  2 searching algorithm could be a combination of my personal taste  popularity less playlist on searching for eg i was searching for the video game playlist nfs most wanted 2005 its too famous bt there isnt one instead now i have to search each song one by one 3 less no of mixes in my mix section 4 sounds quality and hang problem also,4,2/3/2025 10:31,2b6643af-e5a0-4fcf-8e12-035f7b15f80d_2_3f8e48b6,functionality,searching algorithm could be better,negative,search functionality,False,Amazon Music,Android,search functionality,
92eb2750-1570-4988-b932-cce85a38505e,the in your face promoting to upgrade is annoying as well as the volume of commercials after every song  it also does not play long before timing out and asking if im still listening  really frustrating when im working out  also  it always plays videos i just want the audio without have to upgrade,4,3/7/2025 13:56,92eb2750-1570-4988-b932-cce85a38505e_1_c6b2b0c4,ads,annoying promoting to upgrade,negative,upgrade promotion annoyance,False,YouTube Music,Android,upgrade promotion annoyance,
98e43c6b-a621-43b3-b194-d793f8823e00,i mean i like the app design and i think it it cool like seeing other peoples playlist and all but if you dont pay you literally can do anything you look up a song you like to play and you only have 6 skips and you have to sit and wait to hear a whole album and playlist someone else made before you can hear your song honestly for that i would go to youtube or the app called muzi,1,3/22/2025 13:29,98e43c6b-a621-43b3-b194-d793f8823e00_1_2f88fc57,functionality,you can only skip 6 times,neutral,limited song playback options,False,Spotify,Android,music playback difficulty,2.0
482fb604-0f71-4ce5-88f1-54d7bba8e8f1,app is nice but evry time i run it say something went wrong and i cant use it,3,4/2/2025 21:09,482fb604-0f71-4ce5-88f1-54d7bba8e8f1_1_2d734774,functionality,every time I run it say something went wrong,negative,app functionality issue,False,Spotify,Android,functionality issues,1.0
778df0be-5347-45ab-a4a1-16db6a4d3b02,i just dont get it why do have to waste your time to buy calm premium  just to feel happy and calm yourself everything is amazing besides you have to pay to ease your mind i would love to listen to the stories  the music  and to fall asleep  but i cant  my new years resolution was to become a healthier person mentally  physically  and emotionally ive also been trying to fix my sleep schedule  but its kinda hard because of the things i need to unlock this really pisses me off just make everything free my gosh  and im not buying it i hate those types of apps but seriously  do you think you have to give money to become a better person make it freeeee if its not free in 2 months  im deleting which will be very hard because i love it pleaseee  thanks for reading have a great daynight ,4,1/29/2020 2:03,778df0be-5347-45ab-a4a1-16db6a4d3b02_1_921f64ab,pricing,you have to pay to ease your mind,negative,premium subscription requirement,False,Amazon Music,IOS,premium subscription requirement,
0c28d4cd-a75f-45ca-8239-3f0c64ac1cb7,apple music has completely transformed the way i listen to music the interface is sleek  intuitive  and easy to navigate i love how seamlessly it integrates with all my apple deviceswhether im on my iphone  mac  or even apple tv  everything just works the vast library of over 70 million songs means i can always find exactly what im in the mood for  from new releases to obscure tracks  the playlists and personalized recommendations are spot on ive discovered so many new artists and genres that i never would have found otherwise plus  the highquality audio is a gamechanger for my listening experience i also really appreciate the ability to download music for offline listening  especially when im traveling or in places with spotty service  apple musics integration with my daily life is amazingwhether im working out  relaxing  or on a long drive  the app has me covered the family plan is perfect for sharing with loved ones  and the inclusion of apple tv and other perks just adds even more value  if youre looking for a music streaming service that offers great features  sound quality  and an extensive catalog  apple music is the way to go,5,1/31/2025 19:32,0c28d4cd-a75f-45ca-8239-3f0c64ac1cb7_1_d0d8ec96,other,,Positive,,False,Apple Music,IOS,,
34d37746-bdf8-4305-91d9-c20de5cb894e,soo much ads when we are showing off ads always pop up1 song 4 ads need to improve this app and the purchases are doo expensive this app is like a shi most of my local playlist is not showing in the spotify want so much improvement want to give a mixture like to control bass  treble mid etc for customize the song and also remove adsads are not a problem but this app give a lot of ads in the middle of two songs minimum 4 or 3 i need 1 ad in the between of 2 songs want to improve a lot ok,1,4/2/2025 5:53,34d37746-bdf8-4305-91d9-c20de5cb894e_1_168dac40,ads,too many ads interrupting songs,negative,ad frequency issues,False,Spotify,Android,advertising frequency,2.0
34d37746-bdf8-4305-91d9-c20de5cb894e,soo much ads when we are showing off ads always pop up1 song 4 ads need to improve this app and the purchases are doo expensive this app is like a shi most of my local playlist is not showing in the spotify want so much improvement want to give a mixture like to control bass  treble mid etc for customize the song and also remove adsads are not a problem but this app give a lot of ads in the middle of two songs minimum 4 or 3 i need 1 ad in the between of 2 songs want to improve a lot ok,1,4/2/2025 5:53,34d37746-bdf8-4305-91d9-c20de5cb894e_2_42ecd54a,pricing,purchases are too expensive,negative,pricing concerns,False,Spotify,Android,pricing concerns,
026a481f-cf94-43df-bba0-579c0361eeb5,literally useless why is shuffle mode even a thing why should i have to pay to simply rewind a part in a song i should have full access to everything simply because i have prime this app has no reason to exist lol,1,3/31/2025 12:28,026a481f-cf94-43df-bba0-579c0361eeb5_1_2731d1d7,functionality,literally useless,negative,functionality issues,False,Amazon Music,Android,functionality issues,
84d89438-0fe5-4fe7-8cca-1589fe5ed177,its good but as a spotify user i found the library is fine and also the way it suggest the next song sucks it is not where near to spotify algorithm also search sucks doesnt work most of time even if match is 70,3,3/27/2025 6:52,84d89438-0fe5-4fe7-8cca-1589fe5ed177_1_8ec7dcf2,functionality,the suggestion algorithm is not effective,negative,song suggestion algorithm,False,Amazon Music,Android,song suggestion algorithm,
1d13196d-e835-4a7b-b404-6b0470f9a5f2,no matter what i do it will not update my liked song list anymore the song list on my pc is up to date but i have tried everything in this app including reinstalling  clearing the cache  resyncing music  force stopping the app and clearing all data it always retains the out of date list edit several months later i still have issues with the like list not updating and now the app randomly goes black and has to be force closed and restarted its awful,1,3/25/2025 14:26,1d13196d-e835-4a7b-b404-6b0470f9a5f2_1_96fe0981,functionality,the liked song list will not update,negative,liked song list update issues,False,Amazon Music,Android,liked song list update issues,
1d13196d-e835-4a7b-b404-6b0470f9a5f2,no matter what i do it will not update my liked song list anymore the song list on my pc is up to date but i have tried everything in this app including reinstalling  clearing the cache  resyncing music  force stopping the app and clearing all data it always retains the out of date list edit several months later i still have issues with the like list not updating and now the app randomly goes black and has to be force closed and restarted its awful,1,3/25/2025 14:26,1d13196d-e835-4a7b-b404-6b0470f9a5f2_2_50909e2d,performance,the app randomly goes black,negative,app stability problems,False,Amazon Music,Android,app stability problems,
70ef3c49-bcac-436d-a15b-9c9985b4c364,the app is cool and has lots of music to search for mainstream music mainly i wish they had more of the obscure bands i am searching for it does find a few but only has singles or it cant find the artist so thats a big bummer for me some music will glitch the crap out and scare the living t out of you that was a big disappointment and the album wont even play the rest of the album nirvanain utero not the deluxe version some songs that play will just cutoff also leaving me to think did my phone die or my airpods pro die nope just skips to another song i do not like that at all i have disliked songs that come up and the algorithm will still play music like it like whats up with that i dont know what else to say other than  im still trying to like this app and hop they can fix these bugs  glitches and hopefully curate more to the listeners that run into these issues cmon apple,2,4/4/2022 20:26,70ef3c49-bcac-436d-a15b-9c9985b4c364_1_7797ee14,functionality,the app has glitches that cause songs to skip and not play properly,negative,music playback issues,False,Apple Music,IOS,interruption of music playback,4.0
70ef3c49-bcac-436d-a15b-9c9985b4c364,the app is cool and has lots of music to search for mainstream music mainly i wish they had more of the obscure bands i am searching for it does find a few but only has singles or it cant find the artist so thats a big bummer for me some music will glitch the crap out and scare the living t out of you that was a big disappointment and the album wont even play the rest of the album nirvanain utero not the deluxe version some songs that play will just cutoff also leaving me to think did my phone die or my airpods pro die nope just skips to another song i do not like that at all i have disliked songs that come up and the algorithm will still play music like it like whats up with that i dont know what else to say other than  im still trying to like this app and hop they can fix these bugs  glitches and hopefully curate more to the listeners that run into these issues cmon apple,2,4/4/2022 20:26,70ef3c49-bcac-436d-a15b-9c9985b4c364_2_8a30779b,content,it lacks a variety of obscure bands and sometimes fails to find artists,negative,music selection limitations,False,Apple Music,IOS,music selection limitations,
57169df3-e37f-4b00-b0df-775806de5efe,ive had a subscription to apple music for a few years and lately ive had more problems with downloaded music anytime i download music im unable to play it later unless im connected to wifi  which then defeats the purpose of downloading sometimes  even when im connected to wifi  ill select a song to play next on the playlist and ten seconds later it will disappear i always keep my ios updated and have sufficient space for the downloads when i first encountered this problem two years ago support said i needed to do a hard reset but the problem has become so frequent now that its absurd their only solution continues to be hard reset definitely dont recommend to anyone not constantly connected to wifidata,1,8/29/2022 21:59,57169df3-e37f-4b00-b0df-775806de5efe_1_dbf93c68,functionality,unable to play downloaded music unless connected to wifi,negative,downloaded music playback issues,False,Apple Music,IOS,music playback difficulty,3.0
57169df3-e37f-4b00-b0df-775806de5efe,ive had a subscription to apple music for a few years and lately ive had more problems with downloaded music anytime i download music im unable to play it later unless im connected to wifi  which then defeats the purpose of downloading sometimes  even when im connected to wifi  ill select a song to play next on the playlist and ten seconds later it will disappear i always keep my ios updated and have sufficient space for the downloads when i first encountered this problem two years ago support said i needed to do a hard reset but the problem has become so frequent now that its absurd their only solution continues to be hard reset definitely dont recommend to anyone not constantly connected to wifidata,1,8/29/2022 21:59,57169df3-e37f-4b00-b0df-775806de5efe_2_6e7044f2,performance,songs disappear from playlist after selection,negative,playlist management problems,False,Apple Music,IOS,playlist management problems,
36fd0a6b-9b69-4b25-9abd-399e20b7af72,i love the way you can listen to almost any song on apple music with there being endless songs on this platform i can listen to my most favorite songs in the world i havent found one person that doesnt like apple music no matter if im working on papers or on any project apple music has just the right song for anything i would recommend apple music to anyone i know and you should too,5,12/18/2024 5:03,36fd0a6b-9b69-4b25-9abd-399e20b7af72_1_e4a59ad4,other,,Positive,,False,Apple Music,IOS,,
b93e220a-f185-4d03-910b-a1dc4e0e3e39,great music app the only complaint i have is that sometimes songs vanish off your library my guess is the licensing with google expired or changed when this happens there is frequently a replacement of that same song  you just have to add it again i wish there was a notification that specific songs were removed so youd be aware right away also sometimes my auto download playlist forgets how to download and i have to delete and redownload my entire song list,5,3/31/2025 12:59,b93e220a-f185-4d03-910b-a1dc4e0e3e39_1_172f8c5f,content,sometimes songs vanish off your library,neutral,song availability issue,False,YouTube Music,Android,music store availability,2.0
b93e220a-f185-4d03-910b-a1dc4e0e3e39,great music app the only complaint i have is that sometimes songs vanish off your library my guess is the licensing with google expired or changed when this happens there is frequently a replacement of that same song  you just have to add it again i wish there was a notification that specific songs were removed so youd be aware right away also sometimes my auto download playlist forgets how to download and i have to delete and redownload my entire song list,5,3/31/2025 12:59,b93e220a-f185-4d03-910b-a1dc4e0e3e39_2_99feac57,functionality,auto download playlist forgets how to download,neutral,auto download functionality,False,YouTube Music,Android,auto download functionality,
c3bd4c8d-caf5-43c8-b487-ddc1791deee5,app constantly crashes whenever i try to play any music,1,4/1/2025 5:25,c3bd4c8d-caf5-43c8-b487-ddc1791deee5_1_21aca11d,performance,app constantly crashes,negative,app stability issues,False,Amazon Music,Android,app stability problems,1.0
87a9f6df-37e7-4f9d-9f6b-1fd5d82f67c4,always money no poor lives to here what he wished for i dont even know how much you would need to be so greedy why break my self into pieces with this disappointment uninstalled again,1,4/2/2025 16:52,87a9f6df-37e7-4f9d-9f6b-1fd5d82f67c4_1_6012e440,usability,disappointment with the app,negative,user experience disappointment,False,Spotify,Android,user experience disappointment,
7c7109e9-989b-4bc0-93a6-0ecef914f2cd,i really loved this app before the recent update the music i add to my playlist doesnt appear on my playlist and no matter how much i click download  it doesnt seem to download the song for offline listening which means i have to search and stream for a particular song its actually pointless when the network quality is bad or when the signal is weak,1,8/11/2021 8:33,7c7109e9-989b-4bc0-93a6-0ecef914f2cd_1_b750523a,functionality,the music i add to my playlist doesnt appear,negative,playlist management issues,False,Apple Music,Android,collaborative playlist restrictions,1.0
