review_id,review,rating,time,aspect_index,topic,problem,sentiment,aspect,modified_flag,company,data_source,top_issue,sub_issue_index
a85e8a72-93bf-477f-8372-48c18223b151,i use the app all the time  literally on all devices  but its getting really annoying to use on phones especially the new update where you cant go to the playlist from the song youre listening to please  if yall are going to make a new and improved app  at least let us have the choice to have certain updates and this new one  its just  annoying its so annoying not being able to just easily go to the song im listening to and go to that playlist  instead theres just the song name instead of the playlist put the idiotic ideas away and just please stop with the annoying phone updates phone users already dont have the option of being able to choose songs from their own playlists created or found  not being able to listen to each song by song without it mixing  not having the mix option  and not even the repeat option add the ads all yall want  but stop with the idiotic and annoying  updates and maybe consider letting us have choice in what song to listen to if yall are going to smack us with these unnecessary updates,2,2023-02-07 11:12:02,a85e8a72-93bf-477f-8372-48c18223b151_1_f8f1d7fb,other,annoying to use on phones especially the new update where you cant go to the playlist from the song you're listening to,negative,user interface issues,False,Spotify,IOS,user interface issues,
a85e8a72-93bf-477f-8372-48c18223b151,i use the app all the time  literally on all devices  but its getting really annoying to use on phones especially the new update where you cant go to the playlist from the song youre listening to please  if yall are going to make a new and improved app  at least let us have the choice to have certain updates and this new one  its just  annoying its so annoying not being able to just easily go to the song im listening to and go to that playlist  instead theres just the song name instead of the playlist put the idiotic ideas away and just please stop with the annoying phone updates phone users already dont have the option of being able to choose songs from their own playlists created or found  not being able to listen to each song by song without it mixing  not having the mix option  and not even the repeat option add the ads all yall want  but stop with the idiotic and annoying  updates and maybe consider letting us have choice in what song to listen to if yall are going to smack us with these unnecessary updates,2,2023-02-07 11:12:02,a85e8a72-93bf-477f-8372-48c18223b151_2_c9aba057,functionality,not being able to listen to each song by song without it mixing,negative,playlist navigation,False,Spotify,IOS,playlist navigation,
a77059d4-5ea5-4bb8-bd1e-fbb83931912e,this app is pretty good  but i wish you could select songs not have to listen on shuffle every time and listen offline without paying its really annoying when you want to play a song so you search it up but the result is a playlist including the song and because its a playlist  you have to listen on shuffle and you also have limited skips so you cant skip to the song you want you have to pay for unlimited skips and to select songs if you do want to select a song that youve been listening to  the daily mix playlists allow you to do that but theres no guarantee that the song you want is in one of those playlists it would also be great if you didnt have to add like 10 songs to a playlist for the app to jot add random song to your playlist it has to add more song to the playlist to be able to play in shuffle  but if it just didnt make you listen on shuffle for everything  then bam  no random songs in your playlists but another tip for being able to select songs  listen on a computer you can select your songs easily and when you search up a song you can select it you do not have to play your playlists on shuffle on a computer there are also unlimited skips and less ads,5,2022-12-25 16:29:28,a77059d4-5ea5-4bb8-bd1e-fbb83931912e_1_9bfaad57,functionality,you have to listen on shuffle every time and listen offline without paying,neutral,song selection limitations,False,Spotify,IOS,song library access,2.0
a77059d4-5ea5-4bb8-bd1e-fbb83931912e,this app is pretty good  but i wish you could select songs not have to listen on shuffle every time and listen offline without paying its really annoying when you want to play a song so you search it up but the result is a playlist including the song and because its a playlist  you have to listen on shuffle and you also have limited skips so you cant skip to the song you want you have to pay for unlimited skips and to select songs if you do want to select a song that youve been listening to  the daily mix playlists allow you to do that but theres no guarantee that the song you want is in one of those playlists it would also be great if you didnt have to add like 10 songs to a playlist for the app to jot add random song to your playlist it has to add more song to the playlist to be able to play in shuffle  but if it just didnt make you listen on shuffle for everything  then bam  no random songs in your playlists but another tip for being able to select songs  listen on a computer you can select your songs easily and when you search up a song you can select it you do not have to play your playlists on shuffle on a computer there are also unlimited skips and less ads,5,2022-12-25 16:29:28,a77059d4-5ea5-4bb8-bd1e-fbb83931912e_2_27ff4062,other,limited skips so you cant skip to the song you want,neutral,offline listening restrictions,False,Spotify,IOS,offline listening restrictions,
9fb0ebf6-ddb7-40e7-8d07-7b075e0be4c0,app has become horribly unstable the app crashes on me every other song  sometimes i get two songs inbetween i have reinstalled the app  cleared the cache  undownloaded and redownloaded all saved playlist but the app still crashes constantly not worth the membership cost anymore  given that i cant enjoy my music i hope it gets fixed with the next update  but considering the issue wasnt fixed after the last time i brought this issue up  im not hopeful,2,2024-12-10 20:44:37,9fb0ebf6-ddb7-40e7-8d07-7b075e0be4c0_1_0dcf551c,performance,app has become horribly unstable,negative,app stability issues,False,Spotify,Android,app stability issues,
998042cd-b9ac-49af-ae1d-39c9eb1d1da3,1 you need to include an alphabetical quick scroll on the righthand side of all of your lists  whether its your list of playlists  your artist library  or inside an actual playlist looking at songs no one has the time to swipe for 30 seconds to the bottom of their library when they want to listen to the who a quick scroll has been a standard on every music app for years now get with the times  2 the artist library page needs a royal update or retrodate  rather i had an older version of the app until yesterday where all artists whose music you had saved into your library displayed on the same library in a neat  clean fashion  regardless of whether or not you follow them now you can only neatly organize those artists whom you follow  and the rest are left in this awkward  disorganized list of artists with a big follow button next to it we know what youre doing guys if we want to follow an artist  we will for now  just let us organize our artist library in a straightforward fashion  3 another retrodate put back the option to view your songs library sometimes you just wanna shuffle your songs yeah  the liked songs playlist is there  and thats cool and all  but its not intuitive when you have playlists and artists listed up top put it back,3,2019-07-03 00:59:13,998042cd-b9ac-49af-ae1d-39c9eb1d1da3_1_11820e0d,functionality,the artist library page needs a royal update or retrodate,negative,artist library organization,False,Spotify,IOS,artist library organization,
998042cd-b9ac-49af-ae1d-39c9eb1d1da3,1 you need to include an alphabetical quick scroll on the righthand side of all of your lists  whether its your list of playlists  your artist library  or inside an actual playlist looking at songs no one has the time to swipe for 30 seconds to the bottom of their library when they want to listen to the who a quick scroll has been a standard on every music app for years now get with the times  2 the artist library page needs a royal update or retrodate  rather i had an older version of the app until yesterday where all artists whose music you had saved into your library displayed on the same library in a neat  clean fashion  regardless of whether or not you follow them now you can only neatly organize those artists whom you follow  and the rest are left in this awkward  disorganized list of artists with a big follow button next to it we know what youre doing guys if we want to follow an artist  we will for now  just let us organize our artist library in a straightforward fashion  3 another retrodate put back the option to view your songs library sometimes you just wanna shuffle your songs yeah  the liked songs playlist is there  and thats cool and all  but its not intuitive when you have playlists and artists listed up top put it back,3,2019-07-03 00:59:13,998042cd-b9ac-49af-ae1d-39c9eb1d1da3_2_f8195a33,other,put back the option to view your songs library,negative,song library access,False,Spotify,IOS,song library access,
332a3505-92ce-4a36-bb1a-149e0660f212,it was all good until you changed the layout on the playlists i thought the app was acting screwy i kept closing the app somehow  i kept noticing the two words and more on my playlist  and it goes to the songs what in the blazes did you do to this app i havent had this app for a long time  and youre right away charging the app it was fine the way it is please change it back it was much easier before this hooey of a layout,3,2024-12-11 03:53:07,332a3505-92ce-4a36-bb1a-149e0660f212_1_83804df9,functionality,changed the layout on the playlists,negative,layout changes on playlists,False,Spotify,Android,playlist navigation,1.0
35625813-d177-404c-b3c0-7a122fd0c07c,too many ads and always begging for premium,1,2025-04-01 15:43:57,35625813-d177-404c-b3c0-7a122fd0c07c_1_f7fe257a,ads,too many ads,negative,ad frequency and intrusive ads,False,Spotify,Android,ad frequency and intrusive ads,
0b7212a7-8904-42c0-b2f0-4aad9fdf5b59,the user interface keeps getting worse  since several updates ago they removed the three dots from the new episodes so that to add an episode to the queue  one has to do extra tap into each episode before being able to find the three dots and then once its in the queue you make us hunt for the queue list by going to whatever is currently playing to find the queue icon and then they removed many of the action options in the queue list  such as selecting  or adding the currently playing item to the end of the queue instead they added a stupid green queue icon that doesnt actually do anything except signal that its in your queue like who asked for this and why is it necessary we already know its a queued item  we are looking at the queue it was perfectly fine when you separated the queue from the rest of an albumpodcastplaylist with just a dividing space and then to make matters worse you think after listening to the queue that we might want to go back to the very first episode of a podcast   it used to make sense and now i dont even know why i pay for premium anymore when youre just antagonizing listeners we want to easily add songs and episodes to queues and playlists so we can move and just focus on experiencing said songs and episodes we dont want to waste time tapping around the app to figure out your poor ui only to get frustrated by its lack of flow and logic do better,1,2025-03-16 21:50:43,0b7212a7-8904-42c0-b2f0-4aad9fdf5b59_1_02ce3966,other,the user interface keeps getting worse since several updates ago,negative,user interface changes,False,Spotify,IOS,user interface issues,1.0
